gene,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
Gene_001,107.05148850948608,103.19094432244569,107.0986255924594,830.046949728944,831.5084554705439,834.2829845679113
Gene_002,207.38608640890257,187.42444377875094,184.52220993255554,1532.0527433774796,1539.5244394090632,1530.2708202327608
Gene_003,154.50148923404038,164.93176560284434,160.76986676519118,659.6946812071569,658.5492265890342,661.7033399160734
Gene_004,135.87769109823392,125.16362314823431,142.75997540020126,725.4924542422646,729.5571208546988,728.8846438077416
Gene_005,59.24908864586134,69.1963428387119,69.9756509010978,552.3606759870255,552.4511934989395,559.4194021746499
Gene_006,92.26103706253569,75.14495617874879,75.97468195765804,419.250552557356,427.25150566872924,422.7382671823174
Gene_007,59.314843924640186,83.34496295008279,56.788932177418694,262.7691907081176,279.9415212397732,264.910580413714
Gene_008,191.35465001139048,187.445752193108,187.83674133667074,1181.7303075192872,1178.0286886969418,1188.8418843212896
Gene_009,146.03582269948404,162.0718080195811,130.26188851017446,1137.9418793108603,1120.8590171930082,1122.941058546959
Gene_010,140.7042523587455,156.8965164174671,145.58784953214578,1428.8809678547864,1428.8809835955362,1433.6012596013413
Gene_011,45.255141221007996,49.86705898231361,61.22284631806706,484.8805076675728,479.86660296352625,478.34281885227625
Gene_012,179.4116454786869,197.3328164096222,198.0853057667834,799.0019658061609,793.8107536132977,783.7209028055543
Gene_013,180.08581177623222,177.83624285239512,177.371324623522,1388.8036271007747,1389.8271844462347,1385.4756627174945
Gene_014,84.78159133472823,74.70735242147774,100.50861171318898,488.76597286668147,489.2411120308996,483.37002186733605
Gene_015,67.5269283787919,85.14459111848961,88.85970087113914,464.4552811879294,458.0153688586949,452.08167235875493
Gene_016,85.73127807795997,96.47860630455455,75.05679531798637,9.770873831756422,9.229058475120592,10.68238097438387
Gene_017,94.86531934978962,99.0478561920971,98.40324443723085,16.51341182179709,19.54152038408848,18.204724624783434
Gene_018,126.06689641245612,155.91515641073187,134.97013822248573,23.499115305398632,20.6362916541799,21.938110909992925
Gene_019,112.55712494305885,121.93175773723829,119.52412904205282,14.047731360118545,15.140874258504807,11.875027598394531
Gene_020,89.21922150903607,102.248358972941,95.82530847100833,16.330566732240445,13.322056220286665,12.465153501275807
Gene_021,132.93935984634558,143.3151852678122,142.36002139281692,30.151907296835084,25.49682594261436,33.16660269196202
Gene_022,81.75459152955904,81.46209961815529,57.14738541823536,17.05854296218146,15.950934678793548,19.068269997973957
Gene_023,98.9721741433432,132.34901218682992,99.53060238721439,12.759376486551064,8.505882791915992,11.533569816215019
Gene_024,101.80158404765031,112.54396869898643,97.22602434867804,18.36614497070257,21.982229274836634,18.27732977201351
Gene_025,141.55708329929047,99.73784570663791,125.27309953630052,14.532400697061693,13.503005314853349,18.122764566867136
Gene_026,168.41919439990667,156.998946429659,160.62335711635237,174.5723716982988,160.47272789178066,169.9409801047718
Gene_027,80.4067857227921,73.43506384769579,101.39050821700721,86.29025754693407,59.69964145717789,81.81561047144824
Gene_028,120.51730111435786,135.65949911000396,119.20995837771473,125.98780134737275,132.1850385518463,135.79271770374294
Gene_029,126.85922125874862,135.5171729708969,134.11273221769682,132.32889300356928,156.51672773211735,142.91200243891595
Gene_030,44.35872236464921,66.14618137854742,78.189123878126,67.29221451351113,41.77386224845952,52.125221179337146
Gene_031,153.800839277082,134.05503312902795,145.56992206667803,148.87806831950914,131.86242306943493,140.53647422459775
Gene_032,43.165945152403005,65.33474213975083,73.05293703916213,63.10078673344524,91.90273159241008,61.277204773487405
Gene_033,55.35729408082209,61.06514472065284,74.17047183845308,45.39911743599754,71.38937646934153,59.8600695579878
Gene_034,182.51774407752046,196.95386533063268,194.32342754373468,186.33066181641203,193.03085143790017,188.47969461938237
Gene_035,195.9799784136964,201.46611170639437,210.70497312263743,182.46664997291543,216.17513870774658,175.3239269659589
Gene_036,169.74175126711333,177.14277428231492,174.0695208948195,165.03260701926322,169.17837971389642,166.32959287088084
Gene_037,89.79841780656349,104.18808634621584,99.26222023565607,88.76296942339906,104.6880641303381,98.76506058477169
Gene_038,72.77943828934718,70.9471055201937,56.360866991736856,59.04900669898789,72.1237531521902,70.75451975529224
Gene_039,152.42593803718205,153.80822780991136,165.4116029347078,146.71924008846523,158.10592778852393,150.6130274524846
Gene_040,113.846062028668,127.0106425808121,124.2770375508205,124.15797042094658,129.07766213248348,116.23291247726779
Gene_041,75.12526493966647,65.20306766078225,71.54739875160124,67.00430468303998,69.275694876644,74.25730548108595
Gene_042,116.0943296843558,145.20040927354512,114.21636270169351,112.13465038881321,135.8576452516912,132.1931634563199
Gene_043,61.39947633780431,61.441733259925556,55.03581043881361,46.18573445242444,55.91632374922002,48.38666105216164
Gene_044,196.14925764599482,184.92748649679592,178.1430883438922,183.18420189528737,190.52737485457357,180.76081478377756
Gene_045,80.59479328433822,91.25386935492166,91.26666295108976,83.74756548629124,84.1066141838193,91.1374966135789
Gene_046,134.89749923812406,135.30370490933174,142.19390044057292,147.24387113597882,152.48741830907733,164.13190482259282
Gene_047,105.33325764543184,95.15727611377739,96.56649933438476,86.73136776703356,96.57153005348775,93.87007502421027
Gene_048,131.2373887800525,119.73789374114838,133.20366831908333,143.3375923066974,126.92260169210303,132.02732039766101
Gene_049,138.90798181860308,127.99433718263359,134.2474667195961,132.1324659093099,132.98330288698025,124.27644406293727
Gene_050,77.97327007141848,82.70815124128356,92.23960440677948,87.32087658968112,99.25999290394462,70.05469269994856
Gene_051,204.16090053189058,197.2711142220673,217.3357234968605,187.35471131113226,187.04047574287603,189.44376771024358
Gene_052,145.03096626106912,161.0123732873596,158.6785968886302,167.77386136892926,169.68748326193878,185.03163189632605
Gene_053,200.42907961648888,185.15580467800433,181.9406945211448,195.84403294969343,177.72250916442195,209.2394288931719
Gene_054,196.0185037713602,179.5323460431003,167.09275727323856,197.76282630580147,183.07870411162116,196.60226568388194
Gene_055,123.74072023371909,133.69124659212503,139.7374338188446,140.15480275931017,135.18434210687033,145.91349614513774
Gene_056,177.60493095964156,186.85734040325457,189.4840915705865,193.425523594055,195.3972840343564,177.0347143350888
Gene_057,47.9327336004317,76.05064352677302,66.59701542758384,55.78900994222239,78.78539506301315,64.43062165071652
Gene_058,91.19040120351004,80.07261417697286,100.00490861169165,96.95083778730381,76.90778787808104,89.11313887241533
Gene_059,63.23785283243218,70.4704089119042,47.13485873077967,63.6446079365651,67.36833820507658,39.19669847234957
Gene_060,86.9669644878319,78.40722783688864,96.10548127004407,105.97497217244927,113.82312013544993,99.5404974186874
